Type,EDI_Std_Nomenclature,AISC_Manual_Label,T_F,W,A,d,ddet,Ht,h,OD,bf,bfdet,B,b,ID,tw,twdet,twdet/2,tf,tfdet,t,tnom,tdes,kdes,kdet,k1,x,y,eo,xp,yp,bf/2tf,b/t,b/tdes,h/tw,h/tdes,D/t,Ix,Zx,Sx,rx,Iy,Zy,Sy,ry,Iz,rz,Sz,J,Cw,C,Wno,Sw1,Sw2,Sw3,Qf,Qw,ro,H,tan(_),Iw,zA,zB,zC,wA,wB,wC,SwA,SwB,SwC,SzA,SzB,SzC,rts,ho,PA,PA2,PB,PC,PD,T,WGi,WGo,EDI_Std_Nomenclature,AISC_Manual_Label,W,A,d,ddet,Ht,h,OD,bf,bfdet,B,b,ID,tw,twdet,twdet/2,tf,tfdet,t,tnom,tdes,kdes,kdet,k1,x,y,eo,xp,yp,bf/2tf,b/t,b/tdes,h/tw,h/tdes,D/t,Ix,Zx,Sx,rx,Iy,Zy,Sy,ry,Iz,rz,Sz,J,Cw,C,Wno,Sw1,Sw2,Sw3,Qf,Qw,ro,H,tan(_),Iw,zA,zB,zC,wA,wB,wC,SwA,SwB,SwC,SzA,SzB,SzC,rts,ho,PA,PA2,PB,PC,PD,T,WGi,WGo
W,W44X335,W44X335,F,335,98.5,44.0,44      ,Ð,Ð,Ð,15.9,16      ,Ð,Ð,Ð,1.03,1      ,  1/2 ,1.77,1  3/4 ,Ð,Ð,Ð,2.56,3      ,1  3/4 ,Ð,Ð,Ð,Ð,Ð,4.50,Ð,Ð,38.0,Ð,Ð,31100,1620,1410,17.8,1200,236,150,3.49,Ð,Ð,Ð,74.7,535000,Ð,168,1180,Ð,Ð,278,805,Ð,Ð,Ð,Ð,Ð,Ð,Ð,Ð,Ð,Ð,Ð,Ð,Ð,Ð,Ð,Ð,4.24,42.2,132,Ð,148,104,120,38      ,5  1/2 ,Ð,W1100X499,W1100X499,499,63500,1120,1120,Ð,Ð,Ð,404,406,Ð,Ð,Ð,26.2,25.4,12.7,45.0,44.4,Ð,Ð,Ð,65.0,76.2,44.5,Ð,Ð,Ð,Ð,Ð,4.50,Ð,Ð,38.0,Ð,Ð,12900,26500,23100,452,499,3870,2460,88.6,Ð,Ð,Ð,31100,144000,Ð,108000,491,Ð,Ð,4560,13200,Ð,Ð,Ð,Ð,Ð,Ð,Ð,Ð,Ð,Ð,Ð,Ð,Ð,Ð,Ð,Ð,108,1070,3350,Ð,3760,2640,3050,965,140,Ð
W,W44X290,W44X290,F,290,85.4,43.6,43  5/8 ,Ð,Ð,Ð,15.8,15  7/8 ,Ð,Ð,Ð,0.865,  7/8 ,  7/16,1.58,1  9/16,Ð,Ð,Ð,2.36,2 13/16,1  5/8 ,Ð,Ð,Ð,Ð,Ð,5.02,Ð,Ð,45.0,Ð,Ð,27000,1410,1240,17.8,1040,205,132,3.49,Ð,Ð,Ð,50.9,461000,Ð,166,1040,Ð,Ð,248,701,Ð,Ð,Ð,Ð,Ð,Ð,Ð,Ð,Ð,Ð,Ð,Ð,Ð,Ð,Ð,Ð,4.20,42.0,131,Ð,147,103,119,38      ,5  1/2 ,Ð,W1100X433,W1100X433,433,55100,1110,1110,Ð,Ð,Ð,401,403,Ð,Ð,Ð,22.0,22.2,11.1,40.1,39.7,Ð,Ð,Ð,59.9,71.4,41.3,Ð,Ð,Ð,Ð,Ð,5.02,Ð,Ð,45.0,Ð,Ð,11200,23100,20300,452,433,3360,2160,88.6,Ð,Ð,Ð,21200,124000,Ð,107000,433,Ð,Ð,4060,11500,Ð,Ð,Ð,Ð,Ð,Ð,Ð,Ð,Ð,Ð,Ð,Ð,Ð,Ð,Ð,Ð,107,1070,3330,Ð,3730,2620,3020,965,140,Ð
W,W44X262,W44X262,F,262,77.2,43.3,43  1/4 ,Ð,Ð,Ð,15.8,15  3/4 ,Ð,Ð,Ð,0.785, 13/16,  7/16,1.42,1  7/16,Ð,Ð,Ð,2.20,2  5/8 ,1  5/8 ,Ð,Ð,Ð,Ð,Ð,5.57,Ð,Ð,49.6,Ð,Ð,24100,1270,1110,17.7,923,182,117,3.47,Ð,Ð,Ð,37.3,405000,Ð,165,928,Ð,Ð,223,630,Ð,Ð,Ð,Ð,Ð,Ð,Ð,Ð,Ð,Ð,Ð,Ð,Ð,Ð,Ð,Ð,4.17,41.9,131,Ð,147,102,118,38      ,5  1/2 ,Ð,W1100X390,W1100X390,390,49800,1100,1100,Ð,Ð,Ð,401,400,Ð,Ð,Ð,19.9,20.6,11.1,36.1,36.5,Ð,Ð,Ð,55.9,66.7,41.3,Ð,Ð,Ð,Ð,Ð,5.57,Ð,Ð,49.6,Ð,Ð,10000,20800,18200,450,384,2980,1920,88.1,Ð,Ð,Ð,15500,109000,Ð,106000,386,Ð,Ð,3650,10300,Ð,Ð,Ð,Ð,Ð,Ð,Ð,Ð,Ð,Ð,Ð,Ð,Ð,Ð,Ð,Ð,106,1060,3330,Ð,3730,2590,3000,965,140,Ð
W,W44X230,W44X230,F,230,67.8,42.9,42  7/8 ,Ð,Ð,Ð,15.8,15  3/4 ,Ð,Ð,Ð,0.710, 11/16,  3/8 ,1.22,1  1/4 ,Ð,Ð,Ð,2.01,2  7/16,1  9/16,Ð,Ð,Ð,Ð,Ð,6.45,Ð,Ð,54.8,Ð,Ð,20800,1100,971,17.5,796,157,101,3.43,Ð,Ð,Ð,24.9,346000,Ð,165,793,Ð,Ð,192,547,Ð,Ð,Ð,Ð,Ð,Ð,Ð,Ð,Ð,Ð,Ð,Ð,Ð,Ð,Ð,Ð,4.13,41.7,130,Ð,146,102,118,38      ,5  1/2 ,Ð,W1100X343,W1100X343,343,43700,1090,1090,Ð,Ð,Ð,401,400,Ð,Ð,Ð,18.0,17.5,9.52,31.0,31.8,Ð,Ð,Ð,51.1,61.9,39.7,Ð,Ð,Ð,Ð,Ð,6.45,Ð,Ð,54.8,Ð,Ð,8660,18000,15900,445,331,2570,1660,87.1,Ð,Ð,Ð,10400,92900,Ð,106000,330,Ð,Ð,3150,8960,Ð,Ð,Ð,Ð,Ð,Ð,Ð,Ð,Ð,Ð,Ð,Ð,Ð,Ð,Ð,Ð,105,1060,3300,Ð,3710,2590,3000,965,140,Ð
W,W40X655,W40X655,T,655,193,43.6,43  5/8 ,Ð,Ð,Ð,16.9,16  7/8 ,Ð,Ð,Ð,1.97,2      ,1      ,3.54,3  9/16,Ð,Ð,Ð,4.72,4 13/16,2  3/16,Ð,Ð,Ð,Ð,Ð,2.39,Ð,Ð,17.3,Ð,Ð,56500,3080,2590,17.1,2870,542,340,3.86,Ð,Ð,Ð,589,1150000,Ð,169,2530,Ð,Ð,529,1530,Ð,Ð,Ð,Ð,Ð,Ð,Ð,Ð,Ð,Ð,Ð,Ð,Ð,Ð,Ð,Ð,4.71,40.1,132,Ð,149,104,121,34      ,7  1/2 ,Ð,W1000X976,W1000X976,975,125000,1110,1110,Ð,Ð,Ð,429,429,Ð,Ð,Ð,50.0,50.8,25.4,89.9,90.5,Ð,Ð,Ð,120,122,55.6,Ð,Ð,Ð,Ð,Ð,2.39,Ð,Ð,17.3,Ð,Ð,23500,50500,42500,434,1190,8880,5570,98.0,Ð,Ð,Ð,245000,309000,Ð,109000,1050,Ð,Ð,8670,25100,Ð,Ð,Ð,Ð,Ð,Ð,Ð,Ð,Ð,Ð,Ð,Ð,Ð,Ð,Ð,Ð,120,1020,3350,Ð,3780,2640,3070,864,191,Ð
W,W40X593,W40X593,T,593,174,43.0,43      ,Ð,Ð,Ð,16.7,16  3/4 ,Ð,Ð,Ð,1.79,1 13/16, 15/16,3.23,3  1/4 ,Ð,Ð,Ð,4.41,4  1/2 ,2  1/8 ,Ð,Ð,Ð,Ð,Ð,2.58,Ð,Ð,19.1,Ð,Ð,50400,2760,2340,17.0,2520,481,302,3.80,Ð,Ð,Ð,445,997000,Ð,166,2240,Ð,Ð,479,1370,Ð,Ð,Ð,Ð,Ð,Ð,Ð,Ð,Ð,Ð,Ð,Ð,Ð,Ð,Ð,Ð,4.63,39.8,130,Ð,147,103,120,34      ,7  1/2 ,Ð,W1000X883,W1000X883,883,112000,1090,1090,Ð,Ð,Ð,424,425,Ð,Ð,Ð,45.5,46.0,23.8,82.0,82.6,Ð,Ð,Ð,112,114,54.0,Ð,Ð,Ð,Ð,Ð,2.58,Ð,Ð,19.1,Ð,Ð,21000,45200,38300,432,1050,7880,4950,96.5,Ð,Ð,Ð,185000,268000,Ð,107000,932,Ð,Ð,7850,22500,Ð,Ð,Ð,Ð,Ð,Ð,Ð,Ð,Ð,Ð,Ð,Ð,Ð,Ð,Ð,Ð,118,1010,3300,Ð,3730,2620,3050,864,191,Ð
W,W40X503,W40X503,T,503,148,42.1,42      ,Ð,Ð,Ð,16.4,16  3/8 ,Ð,Ð,Ð,1.54,1  9/16, 13/16,2.76,2  3/4 ,Ð,Ð,Ð,3.94,4      ,2      ,Ð,Ð,Ð,Ð,Ð,2.98,Ð,Ð,22.3,Ð,Ð,41600,2320,1980,16.8,2040,394,249,3.72,Ð,Ð,Ð,277,789000,Ð,161,1830,Ð,Ð,403,1150,Ð,Ð,Ð,Ð,Ð,Ð,Ð,Ð,Ð,Ð,Ð,Ð,Ð,Ð,Ð,Ð,4.50,39.3,129,Ð,145,101,117,34      ,7  1/2 ,Ð,W1000X748,W1000X748,748,95500,1070,1070,Ð,Ð,Ð,417,416,Ð,Ð,Ð,39.1,39.7,20.6,70.1,69.8,Ð,Ð,Ð,100,102,50.8,Ð,Ð,Ð,Ð,Ð,2.98,Ð,Ð,22.3,Ð,Ð,17300,38000,32400,427,849,6460,4080,94.5,Ð,Ð,Ð,115000,212000,Ð,104000,762,Ð,Ð,6600,18800,Ð,Ð,Ð,Ð,Ð,Ð,Ð,Ð,Ð,Ð,Ð,Ð,Ð,Ð,Ð,Ð,114,998,3280,Ð,3680,2570,2970,864,191,Ð
W,W40X431,W40X431,T,431,127,41.3,41  1/4 ,Ð,Ð,Ð,16.2,16  1/4 ,Ð,Ð,Ð,1.34,1  5/16, 11/16,2.36,2  3/8 ,Ð,Ð,Ð,3.54,3  5/8 ,1  7/8 ,Ð,Ð,Ð,Ð,Ð,3.44,Ð,Ð,25.5,Ð,Ð,34800,1960,1690,16.6,1690,328,208,3.65,Ð,Ð,Ð,177,638000,Ð,158,1510,Ð,Ð,341,969,Ð,Ð,Ð,Ð,Ð,Ð,Ð,Ð,Ð,Ð,Ð,Ð,Ð,Ð,Ð,Ð,4.41,38.9,127,Ð,143,98.8,115,34      ,7  1/2 ,Ð,W1000X642,W1000X642,642,81900,1050,1050,Ð,Ð,Ð,411,413,Ð,Ð,Ð,34.0,33.3,17.5,59.9,60.3,Ð,Ð,Ð,89.9,92.1,47.6,Ð,Ð,Ð,Ð,Ð,3.44,Ð,Ð,25.5,Ð,Ð,14500,32100,27700,422,703,5370,3410,92.7,Ð,Ð,Ð,73700,171000,Ð,102000,629,Ð,Ð,5590,15900,Ð,Ð,Ð,Ð,Ð,Ð,Ð,Ð,Ð,Ð,Ð,Ð,Ð,Ð,Ð,Ð,112,988,3230,Ð,3630,2510,2920,864,191,Ð
W,W40X397,W40X397,T,397,117,41.0,41      ,Ð,Ð,Ð,16.1,16  1/8 ,Ð,Ð,Ð,1.22,1  1/4 ,  5/8 ,2.20,2  3/16,Ð,Ð,Ð,3.38,3  1/2 ,1 13/16,Ð,Ð,Ð,Ð,Ð,3.66,Ð,Ð,28.0,Ð,Ð,32000,1800,1560,16.6,1540,300,191,3.64,Ð,Ð,Ð,142,579000,Ð,156,1380,Ð,Ð,318,891,Ð,Ð,Ð,Ð,Ð,Ð,Ð,Ð,Ð,Ð,Ð,Ð,Ð,Ð,Ð,Ð,4.38,38.8,126,Ð,142,98.1,114,34      ,7  1/2 ,Ð,W1000X591,W1000X591,591,75500,1040,1040,Ð,Ð,Ð,409,410,Ð,Ð,Ð,31.0,31.8,15.9,55.9,55.6,Ð,Ð,Ð,85.9,88.9,46.0,Ð,Ð,Ð,Ð,Ð,3.66,Ð,Ð,28.0,Ð,Ð,13300,29500,25600,422,641,4920,3130,92.5,Ð,Ð,Ð,59100,155000,Ð,101000,574,Ð,Ð,5210,14600,Ð,Ð,Ð,Ð,Ð,Ð,Ð,Ð,Ð,Ð,Ð,Ð,Ð,Ð,Ð,Ð,111,986,3200,Ð,3610,2490,2900,864,191,Ð
W,W40X372,W40X372,T,372,110,40.6,40  5/8 ,Ð,Ð,Ð,16.1,16  1/8 ,Ð,Ð,Ð,1.16,1  3/16,  5/8 ,2.05,2  1/16,Ð,Ð,Ð,3.23,3  5/16,1 13/16,Ð,Ð,Ð,Ð,Ð,3.93,Ð,Ð,29.5,Ð,Ð,29600,1680,1460,16.5,1420,277,177,3.60,Ð,Ð,Ð,116,528000,Ð,155,1280,Ð,Ð,295,829,Ð,Ð,Ð,Ð,Ð,Ð,Ð,Ð,Ð,Ð,Ð,Ð,Ð,Ð,Ð,Ð,4.33,38.6,125,Ð,141,97.3,113,34      ,7  1/2 ,Ð,W1000X554,W1000X554,554,71000,1030,1030,Ð,Ð,Ð,409,410,Ð,Ð,Ð,29.5,30.2,15.9,52.1,52.4,Ð,Ð,Ð,82.0,84.1,46.0,Ð,Ð,Ð,Ð,Ð,3.93,Ð,Ð,29.5,Ð,Ð,12300,27500,23900,419,591,4540,2900,91.4,Ð,Ð,Ð,48300,142000,Ð,100000,533,Ð,Ð,4830,13600,Ð,Ð,Ð,Ð,Ð,Ð,Ð,Ð,Ð,Ð,Ð,Ð,Ð,Ð,Ð,Ð,110,980,3180,Ð,3580,2470,2870,864,191,Ð
